jd_text,cv_text,score
"We are seeking an enthusiastic Junior AI Engineer to join our innovative R&D team. The ideal candidate possesses a strong academic foundation in Computer Science, currently pursuing advanced degrees. You will contribute to developing and implementing cutting-edge AI/ML models, specializing in areas like Computer Vision, Natural Language Processing (Transformers), or Time Series forecasting. Proficiency in Python, TensorFlow, PyTorch, and HuggingFace is essential. This role offers an excellent opportunity to apply deep learning principles and grow within a dynamic tech environment.","ID: CV_25.json
Role: Fullstack Developer, Frontend Developer, Researcher
Skills: Dart, Python, Java, JavaScript, SQL, C++, C#, HTML/CSS, Flutter, Node.js, Firebase, Google Cloud APIs, Git, Android Studio, UI Design
Exp: 1 years.",0.3
"We are seeking an enthusiastic Junior AI Engineer to join our innovative R&D team. The ideal candidate possesses a strong academic foundation in Computer Science, currently pursuing advanced degrees. You will contribute to developing and implementing cutting-edge AI/ML models, specializing in areas like Computer Vision, Natural Language Processing (Transformers), or Time Series forecasting. Proficiency in Python, TensorFlow, PyTorch, and HuggingFace is essential. This role offers an excellent opportunity to apply deep learning principles and grow within a dynamic tech environment.","ID: CV_63.json
Role: Software Engineer
Skills: Software Development, Web Development, RESTful API Development, MongoDB, Git, GitHub, ERP Systems, CRM Systems, Odoo Customization, Problem Solving, System Performance Analysis, Data Security, Technical Process Improvement, Teamwork, Business Process Analysis
Exp: 0 years.",0.0
"We are seeking an enthusiastic Junior AI Engineer to join our innovative R&D team. The ideal candidate possesses a strong academic foundation in Computer Science, currently pursuing advanced degrees. You will contribute to developing and implementing cutting-edge AI/ML models, specializing in areas like Computer Vision, Natural Language Processing (Transformers), or Time Series forecasting. Proficiency in Python, TensorFlow, PyTorch, and HuggingFace is essential. This role offers an excellent opportunity to apply deep learning principles and grow within a dynamic tech environment.","ID: CV_59.json
Role: IT Intern
Skills: Python, Java, C#, Kotlin, Firebase, MySQL, Git, OpenCV, Android Studio, Visual Studio, PySpark, Google Colab, Kaggle, TensorFlow, PyTorch
Exp: 0 years.",0.7
"We are seeking an enthusiastic Junior AI Engineer to join our innovative R&D team. The ideal candidate possesses a strong academic foundation in Computer Science, currently pursuing advanced degrees. You will contribute to developing and implementing cutting-edge AI/ML models, specializing in areas like Computer Vision, Natural Language Processing (Transformers), or Time Series forecasting. Proficiency in Python, TensorFlow, PyTorch, and HuggingFace is essential. This role offers an excellent opportunity to apply deep learning principles and grow within a dynamic tech environment.","ID: CV_3.json
Role: 
Skills: Python, Java, JavaScript, PyTorch, TensorFlow, Scikit-learn, HuggingFace Transformers, OpenCV, CNNs, YOLO, BERT, GPT, Pandas, NumPy, SQL
Exp: 0 years.",1.0
"We are seeking an enthusiastic Junior AI Engineer to join our innovative R&D team. The ideal candidate possesses a strong academic foundation in Computer Science, currently pursuing advanced degrees. You will contribute to developing and implementing cutting-edge AI/ML models, specializing in areas like Computer Vision, Natural Language Processing (Transformers), or Time Series forecasting. Proficiency in Python, TensorFlow, PyTorch, and HuggingFace is essential. This role offers an excellent opportunity to apply deep learning principles and grow within a dynamic tech environment.","ID: CV_70.json
Role: Software Developer, Data Scientist, Algorithm Engineer
Skills: Python, Java, C#, HTML, CSS, JavaScript, Git, VSCode, Linux Terminal, OpenCV, Deep Learning, Transformer Architecture, Sentiment Analysis, ASP.NET MVC, UML Modeling, Algorithm Design
Exp: 0 years.",0.9
"We are seeking an enthusiastic Junior AI Engineer to join our innovative R&D team. The ideal candidate possesses a strong academic foundation in Computer Science, currently pursuing advanced degrees. You will contribute to developing and implementing cutting-edge AI/ML models, specializing in areas like Computer Vision, Natural Language Processing (Transformers), or Time Series forecasting. Proficiency in Python, TensorFlow, PyTorch, and HuggingFace is essential. This role offers an excellent opportunity to apply deep learning principles and grow within a dynamic tech environment.","ID: CV_19.json
Role: 
Skills: Java, C#, Python, Spring Boot, ASP.NET MVC, IntelliJ, Git, Visual Studio, MySQL, SQL Server, Deep Learning, TensorFlow, Keras, PyTorch, RESTful API
Exp: 0 years.",0.9
"We are seeking an enthusiastic Junior AI Engineer to join our innovative R&D team. The ideal candidate possesses a strong academic foundation in Computer Science, currently pursuing advanced degrees. You will contribute to developing and implementing cutting-edge AI/ML models, specializing in areas like Computer Vision, Natural Language Processing (Transformers), or Time Series forecasting. Proficiency in Python, TensorFlow, PyTorch, and HuggingFace is essential. This role offers an excellent opportunity to apply deep learning principles and grow within a dynamic tech environment.","ID: CV_84.json
Role: Web Developer, Software Developer, Network Security Researcher, Machine Learning Engineer, Game & Robotics Instructor
Skills: C#, Python, JavaScript, HTML, CSS, SQL, MongoDB, Network Configuration, Linux, Security Testing, Problem-solving, Adaptability, Mentoring, Communication
Exp: 0 years.",0.3
"We are seeking an enthusiastic Junior AI Engineer to join our innovative R&D team. The ideal candidate possesses a strong academic foundation in Computer Science, currently pursuing advanced degrees. You will contribute to developing and implementing cutting-edge AI/ML models, specializing in areas like Computer Vision, Natural Language Processing (Transformers), or Time Series forecasting. Proficiency in Python, TensorFlow, PyTorch, and HuggingFace is essential. This role offers an excellent opportunity to apply deep learning principles and grow within a dynamic tech environment.","ID: CV_74.json
Role: Barista, Cashier, Waiter, Teacher Assistant, IT Assistant
Skills: Communication Skills, Problem Solving Skills, Time Management, Adaptability, Customer Service, Teamwork, Document Management, Python, Java, HTML
Exp: 0 years.",0.0
"We are seeking an enthusiastic Junior AI Engineer to join our innovative R&D team. The ideal candidate possesses a strong academic foundation in Computer Science, currently pursuing advanced degrees. You will contribute to developing and implementing cutting-edge AI/ML models, specializing in areas like Computer Vision, Natural Language Processing (Transformers), or Time Series forecasting. Proficiency in Python, TensorFlow, PyTorch, and HuggingFace is essential. This role offers an excellent opportunity to apply deep learning principles and grow within a dynamic tech environment.","ID: CV_41.json
Role: Cybersecurity Intern
Skills: Node.js, Express.js, MongoDB, Docker, JWT, Cybersecurity, NIST Cybersecurity Framework, Network Security, Penetration Testing, Kali Linux, Burp Suite, Wireshark, Linux, Python, Android Java
Exp: 0 years.",0.0
"We are seeking an enthusiastic Junior AI Engineer to join our innovative R&D team. The ideal candidate possesses a strong academic foundation in Computer Science, currently pursuing advanced degrees. You will contribute to developing and implementing cutting-edge AI/ML models, specializing in areas like Computer Vision, Natural Language Processing (Transformers), or Time Series forecasting. Proficiency in Python, TensorFlow, PyTorch, and HuggingFace is essential. This role offers an excellent opportunity to apply deep learning principles and grow within a dynamic tech environment.","ID: CV_67.json
Role: Full Stack Developer, UI/UX Designer
Skills: JavaScript, TypeScript, Node.js, HTML5, CSS3, SASS, TailwindCSS, SQL, NoSQL, MySQL, MongoDB, ReactJS, Next.js, Git, Docker, Figma, Teamwork, Time Management, Communication, Problem-solving
Exp: 1 years.",0.0
"**Junior AI Agent Developer**

We are seeking a highly motivated Junior AI Agent Developer to design and implement innovative LLM-powered applications. You will leverage LangChain and LangGraph to build intelligent agents, integrate natural language interfaces, and develop end-to-end AI systems. Essential skills include Python, FastAPI, and experience with database integration (MongoDB/SQLite). This role offers the opportunity to create intuitive user experiences within a dynamic AI development environment.","ID: CV_5.json
Role: Flutter Developer, Mobile Developer
Skills: Dart, Java, JavaScript, Flutter, Riverpod, GetX, Provider, Firebase, MySQL, SQL Server, REST APIs, Retrofit, Hive, Git/GitHub, Android Studio, VS Code
Exp: 0 years.",0.1
"**Junior AI Agent Developer**

We are seeking a highly motivated Junior AI Agent Developer to design and implement innovative LLM-powered applications. You will leverage LangChain and LangGraph to build intelligent agents, integrate natural language interfaces, and develop end-to-end AI systems. Essential skills include Python, FastAPI, and experience with database integration (MongoDB/SQLite). This role offers the opportunity to create intuitive user experiences within a dynamic AI development environment.","ID: CV_74.json
Role: Barista, Cashier, Waiter, Teacher Assistant, IT Assistant
Skills: Communication Skills, Problem Solving Skills, Time Management, Adaptability, Customer Service, Teamwork, Document Management, Python, Java, HTML
Exp: 0 years.",0.3
"**Junior AI Agent Developer**

We are seeking a highly motivated Junior AI Agent Developer to design and implement innovative LLM-powered applications. You will leverage LangChain and LangGraph to build intelligent agents, integrate natural language interfaces, and develop end-to-end AI systems. Essential skills include Python, FastAPI, and experience with database integration (MongoDB/SQLite). This role offers the opportunity to create intuitive user experiences within a dynamic AI development environment.","ID: CV_50.json
Role: Intern
Skills: Java, Python, C, C#, PHP, SQL, Kotlin, HTML, CSS, ASP.NET Core, Java Spring, Android, Figma, MySQL, Git
Exp: 0 years.",0.4
"**Junior AI Agent Developer**

We are seeking a highly motivated Junior AI Agent Developer to design and implement innovative LLM-powered applications. You will leverage LangChain and LangGraph to build intelligent agents, integrate natural language interfaces, and develop end-to-end AI systems. Essential skills include Python, FastAPI, and experience with database integration (MongoDB/SQLite). This role offers the opportunity to create intuitive user experiences within a dynamic AI development environment.","ID: CV_32.json
Role: 
Skills: Python, Java, MySQL, Firebase, Communication, Problem-solving, Teamwork, Self-discipline, Machine Learning, Data Processing, Data Balancing, Feature Selection, PyTorch, RS-GAN
Exp: 0 years.",0.7
"**Junior AI Agent Developer**

We are seeking a highly motivated Junior AI Agent Developer to design and implement innovative LLM-powered applications. You will leverage LangChain and LangGraph to build intelligent agents, integrate natural language interfaces, and develop end-to-end AI systems. Essential skills include Python, FastAPI, and experience with database integration (MongoDB/SQLite). This role offers the opportunity to create intuitive user experiences within a dynamic AI development environment.","ID: CV_40.json
Role: 
Skills: Subnetting, VLAN, VPN, DHCP, DNS, Cisco Router/Switch, Packet Tracer, GNS3, Windows Server, Ubuntu, Firewall Configuration, IPSec VPN, Teamwork, Communication, Problem Solving
Exp: 0 years.",0.0
"**Junior AI Agent Developer**

We are seeking a highly motivated Junior AI Agent Developer to design and implement innovative LLM-powered applications. You will leverage LangChain and LangGraph to build intelligent agents, integrate natural language interfaces, and develop end-to-end AI systems. Essential skills include Python, FastAPI, and experience with database integration (MongoDB/SQLite). This role offers the opportunity to create intuitive user experiences within a dynamic AI development environment.","ID: CV_61.json
Role: Full-stack Developer, Game Developer
Skills: Software Engineering, Node.js, Express.js, React.js, MongoDB, Docker, HTML/CSS, JavaScript, Java, C#, Unity, SQL Server, MySQL, RESTful API Design, Data Structures and Algorithms
Exp: 0 years.",0.3
"**Junior AI Agent Developer**

We are seeking a highly motivated Junior AI Agent Developer to design and implement innovative LLM-powered applications. You will leverage LangChain and LangGraph to build intelligent agents, integrate natural language interfaces, and develop end-to-end AI systems. Essential skills include Python, FastAPI, and experience with database integration (MongoDB/SQLite). This role offers the opportunity to create intuitive user experiences within a dynamic AI development environment.","ID: CV_12.json
Role: Backend Developer, WordPress PHP Developer
Skills: PHP, WordPress, MySQL, SEO, Ajax, Scrum Agile, ACF Pro, WPBakery, Elementor, JavaScript, HTML5, CSS3, FileZilla, GitLab, Yoast SEO
Exp: 0 years.",0.1
"**Junior AI Agent Developer**

We are seeking a highly motivated Junior AI Agent Developer to design and implement innovative LLM-powered applications. You will leverage LangChain and LangGraph to build intelligent agents, integrate natural language interfaces, and develop end-to-end AI systems. Essential skills include Python, FastAPI, and experience with database integration (MongoDB/SQLite). This role offers the opportunity to create intuitive user experiences within a dynamic AI development environment.","ID: CV_22.json
Role: 
Skills: Python, Java, Kotlin, SQL, MySQL, SQLite, Spring Boot, PyTorch, TensorFlow, LangChain, FastAPI, Hugging Face Transformers, PyQt5, Machine Learning, Backend Programming
Exp: 0 years.",0.95
"**Junior AI Agent Developer**

We are seeking a highly motivated Junior AI Agent Developer to design and implement innovative LLM-powered applications. You will leverage LangChain and LangGraph to build intelligent agents, integrate natural language interfaces, and develop end-to-end AI systems. Essential skills include Python, FastAPI, and experience with database integration (MongoDB/SQLite). This role offers the opportunity to create intuitive user experiences within a dynamic AI development environment.","ID: CV_30.json
Role: Software Engineer, Mobile Developer
Skills: HTML, CSS, Javascript, Node.js, PHP, Python, Flutter, Android, Java, Kotlin, MySQL, Firebase, MongoDB, Git, Docker
Exp: 0 years.",0.4
"**Junior AI Agent Developer**

We are seeking a highly motivated Junior AI Agent Developer to design and implement innovative LLM-powered applications. You will leverage LangChain and LangGraph to build intelligent agents, integrate natural language interfaces, and develop end-to-end AI systems. Essential skills include Python, FastAPI, and experience with database integration (MongoDB/SQLite). This role offers the opportunity to create intuitive user experiences within a dynamic AI development environment.","ID: CV_38.json
Role: 
Skills: Machine Learning, Transformers, Data Preprocessing, Tokenization, Embedding, Classification, Seq2seq, Image Captioning, Model Fine-tuning, Python, Java, C, JavaScript, Node.js, SpringBoot, Angular, MySQL, MongoDB, Firebase, Natural Language Processing, Computer Vision
Exp: 0 years.",0.8
"**Junior AI/Data Engineer**

We are seeking a highly driven Junior AI/Data Engineer to contribute to our advanced analytics and intelligent systems development. This role involves designing and implementing machine learning algorithms, developing data processing pipelines with big data technologies like Hadoop/Spark, and tackling challenges in areas such as computer vision. You'll leverage strong Python skills, experience with deep learning frameworks (PyTorch/TensorFlow), and a passion for problem-solving. If you thrive on applying theoretical knowledge to real-world data and AI problems, this is your opportunity.","ID: CV_57.json
Role: AI/ML Engineer Intern, Research Engineer Intern
Skills: Python, Machine Learning, NLP, TensorFlow, PyTorch, Scikit-learn, SQL, Pandas, NumPy, Git, Data Modeling, Algorithms, Data Structures, Matplotlib, Communication Skills
Exp: 0 years.",0.9
"**Junior AI/Data Engineer**

We are seeking a highly driven Junior AI/Data Engineer to contribute to our advanced analytics and intelligent systems development. This role involves designing and implementing machine learning algorithms, developing data processing pipelines with big data technologies like Hadoop/Spark, and tackling challenges in areas such as computer vision. You'll leverage strong Python skills, experience with deep learning frameworks (PyTorch/TensorFlow), and a passion for problem-solving. If you thrive on applying theoretical knowledge to real-world data and AI problems, this is your opportunity.","ID: CV_60.json
Role: 
Skills: C#, Python, SQL, JavaScript, Dart, ASP.NET Core, HTML, CSS, Flutter, Data Analysis, Machine Learning, Artificial Intelligence, Database Design, Git, Visual Studio
Exp: 0 years.",0.4
"**Junior AI/Data Engineer**

We are seeking a highly driven Junior AI/Data Engineer to contribute to our advanced analytics and intelligent systems development. This role involves designing and implementing machine learning algorithms, developing data processing pipelines with big data technologies like Hadoop/Spark, and tackling challenges in areas such as computer vision. You'll leverage strong Python skills, experience with deep learning frameworks (PyTorch/TensorFlow), and a passion for problem-solving. If you thrive on applying theoretical knowledge to real-world data and AI problems, this is your opportunity.","ID: CV_41.json
Role: Cybersecurity Intern
Skills: Node.js, Express.js, MongoDB, Docker, JWT, Cybersecurity, NIST Cybersecurity Framework, Network Security, Penetration Testing, Kali Linux, Burp Suite, Wireshark, Linux, Python, Android Java
Exp: 0 years.",0.1
"**Junior AI/Data Engineer**

We are seeking a highly driven Junior AI/Data Engineer to contribute to our advanced analytics and intelligent systems development. This role involves designing and implementing machine learning algorithms, developing data processing pipelines with big data technologies like Hadoop/Spark, and tackling challenges in areas such as computer vision. You'll leverage strong Python skills, experience with deep learning frameworks (PyTorch/TensorFlow), and a passion for problem-solving. If you thrive on applying theoretical knowledge to real-world data and AI problems, this is your opportunity.","ID: CV_69.json
Role: Programmer, Software Tester
Skills: Python, HTML, CSS, Javascript, SQL, IndexedDB, PostgreSQL, Prisma (ORM), Dexie.js, IntelliJ, Visual Studio, Visual Studio Code, PyCharm, Typescript, Teamwork
Exp: 0 years.",0.2
"**Junior AI/Data Engineer**

We are seeking a highly driven Junior AI/Data Engineer to contribute to our advanced analytics and intelligent systems development. This role involves designing and implementing machine learning algorithms, developing data processing pipelines with big data technologies like Hadoop/Spark, and tackling challenges in areas such as computer vision. You'll leverage strong Python skills, experience with deep learning frameworks (PyTorch/TensorFlow), and a passion for problem-solving. If you thrive on applying theoretical knowledge to real-world data and AI problems, this is your opportunity.","ID: CV_73.json
Role: Game Developer
Skills: Unity, C#, Excel, Word, Powerpoint
Exp: 0 years.",0.0
"**Junior AI/Data Engineer**

We are seeking a highly driven Junior AI/Data Engineer to contribute to our advanced analytics and intelligent systems development. This role involves designing and implementing machine learning algorithms, developing data processing pipelines with big data technologies like Hadoop/Spark, and tackling challenges in areas such as computer vision. You'll leverage strong Python skills, experience with deep learning frameworks (PyTorch/TensorFlow), and a passion for problem-solving. If you thrive on applying theoretical knowledge to real-world data and AI problems, this is your opportunity.","ID: CV_6.json
Role: Instructor
Skills: Machine Learning, Deep Learning, TensorFlow, PyTorch, Scikit-learn, Numpy, Pandas, SQL, Data Analysis, Algorithms, Data Structures, CNN, RNN, Transformers
Exp: 1 years.",0.9
"**Junior AI/Data Engineer**

We are seeking a highly driven Junior AI/Data Engineer to contribute to our advanced analytics and intelligent systems development. This role involves designing and implementing machine learning algorithms, developing data processing pipelines with big data technologies like Hadoop/Spark, and tackling challenges in areas such as computer vision. You'll leverage strong Python skills, experience with deep learning frameworks (PyTorch/TensorFlow), and a passion for problem-solving. If you thrive on applying theoretical knowledge to real-world data and AI problems, this is your opportunity.","ID: CV_43.json
Role: 
Skills: Node.js, JavaScript, TypeScript, Java, Python, Express.js, NextJS, Spring Boot, MySQL, MongoDB, RESTful API, Docker, Git, GitHub, Postman
Exp: 0 years.",0.1
"**Junior AI/Data Engineer**

We are seeking a highly driven Junior AI/Data Engineer to contribute to our advanced analytics and intelligent systems development. This role involves designing and implementing machine learning algorithms, developing data processing pipelines with big data technologies like Hadoop/Spark, and tackling challenges in areas such as computer vision. You'll leverage strong Python skills, experience with deep learning frameworks (PyTorch/TensorFlow), and a passion for problem-solving. If you thrive on applying theoretical knowledge to real-world data and AI problems, this is your opportunity.","ID: CV_17.json
Role: Backend Developer, Lead Backend
Skills: JavaScript, Java, Python, C/C++, Node.js, Spring Boot, React.js, Docker, Nginx, MySQL, MongoDB, Swagger, Git, AWS (EC2), Postman
Exp: 0 years.",0.1
"**Junior AI/Data Engineer**

We are seeking a highly driven Junior AI/Data Engineer to contribute to our advanced analytics and intelligent systems development. This role involves designing and implementing machine learning algorithms, developing data processing pipelines with big data technologies like Hadoop/Spark, and tackling challenges in areas such as computer vision. You'll leverage strong Python skills, experience with deep learning frameworks (PyTorch/TensorFlow), and a passion for problem-solving. If you thrive on applying theoretical knowledge to real-world data and AI problems, this is your opportunity.","ID: CV_1.json
Role: Software Engineer, Backend Developer, Team Leader
Skills: Flutter, Python, Node.js, Java, MongoDB, MySQL, Firebase, SQL Server, RESTful APIs, WebSocket, Microservices, MVC, Git, Agile/Scrum, Problem-solving
Exp: 2 years.",0.3
"**Junior AI/Data Engineer**

We are seeking a highly driven Junior AI/Data Engineer to contribute to our advanced analytics and intelligent systems development. This role involves designing and implementing machine learning algorithms, developing data processing pipelines with big data technologies like Hadoop/Spark, and tackling challenges in areas such as computer vision. You'll leverage strong Python skills, experience with deep learning frameworks (PyTorch/TensorFlow), and a passion for problem-solving. If you thrive on applying theoretical knowledge to real-world data and AI problems, this is your opportunity.","ID: CV_53.json
Role: AI Engineer Intern, AI Engineer, Computer Vision Engineer, Machine Learning Engineer
Skills: Python, PyTorch, Scikit-learn, NumPy, Pandas, OpenCV, GPT-4o, YOLOv8, ChromaDB, Hybrid Search, FlagEmbedding, Deep Learning, Computer Vision, Large Language Models, Problem-Solving
Exp: 0 years.",1.0
"**Junior Software Engineer**

We are seeking a highly motivated Junior Software Engineer to join our dynamic development team. You will contribute to building innovative applications, utilizing your skills in Java (Spring Boot) and C# (ASP.NET MVC), while also exploring opportunities in Python-based deep learning projects using TensorFlow/Keras. Ideal candidates possess strong foundational programming skills, experience with databases like MySQL, and proficiency in Git. This role offers significant learning and growth within a collaborative tech environment.","ID: CV_81.json
Role: Network and Data Analyst Intern
Skills: Networking, VLAN, VPN, Cisco Packet Tracer, Wireshark, Cybersecurity, Python, PySpark, SQL, Hadoop, Data Visualization, Salesforce, AWS, VMware, Linux
Exp: 0 years.",0.3
"**Junior Software Engineer**

We are seeking a highly motivated Junior Software Engineer to join our dynamic development team. You will contribute to building innovative applications, utilizing your skills in Java (Spring Boot) and C# (ASP.NET MVC), while also exploring opportunities in Python-based deep learning projects using TensorFlow/Keras. Ideal candidates possess strong foundational programming skills, experience with databases like MySQL, and proficiency in Git. This role offers significant learning and growth within a collaborative tech environment.","ID: CV_21.json
Role: Network Intern, Web Developer, System Administrator, Network Security Specialist
Skills: Computer Networking, System Administration, Network Security, Network Design, HTML, CSS, JavaScript, C#, .NET Core, MVC, SQL Server, MongoDB, Git, VMware, Business Analysis
Exp: 0 years.",0.7
"**Junior Software Engineer**

We are seeking a highly motivated Junior Software Engineer to join our dynamic development team. You will contribute to building innovative applications, utilizing your skills in Java (Spring Boot) and C# (ASP.NET MVC), while also exploring opportunities in Python-based deep learning projects using TensorFlow/Keras. Ideal candidates possess strong foundational programming skills, experience with databases like MySQL, and proficiency in Git. This role offers significant learning and growth within a collaborative tech environment.","ID: CV_31.json
Role: 
Skills: Python, SQL, Ubuntu, Data Visualization, Data Analysis, Feature Engineering, Machine Learning, Natural Language Processing (NLP), Network Security
Exp: 0 years.",0.3
"**Junior Software Engineer**

We are seeking a highly motivated Junior Software Engineer to join our dynamic development team. You will contribute to building innovative applications, utilizing your skills in Java (Spring Boot) and C# (ASP.NET MVC), while also exploring opportunities in Python-based deep learning projects using TensorFlow/Keras. Ideal candidates possess strong foundational programming skills, experience with databases like MySQL, and proficiency in Git. This role offers significant learning and growth within a collaborative tech environment.","ID: CV_40.json
Role: 
Skills: Subnetting, VLAN, VPN, DHCP, DNS, Cisco Router/Switch, Packet Tracer, GNS3, Windows Server, Ubuntu, Firewall Configuration, IPSec VPN, Teamwork, Communication, Problem Solving
Exp: 0 years.",0.0
