jd_text,cv_text,score,type
"Seeking a visionary Senior Software Development Lead (7+ years experience) to architect complex solutions. Must have deep expertise in Python, Java, C#, Spring Boot, ASP.NET Core MVC, and modern frontend technologies like HTML, CSS, JavaScript, Thymeleaf, Bootstrap. Lead innovative projects using TensorFlow, Keras, PyTorch, ensuring robust Spring Data JPA implementation and team mentorship.","Role: Software Developer (Intern). Skills: Python, Java, C#, JavaScript, HTML, CSS, Spring Boot, Spring Security, Spring Data JPA, ASP.NET Core MVC, Entity Framework Core, TensorFlow, Keras, PyTorch, Thymeleaf, Bootstrap.",0.2,Seniority_Mismatch
"We need a pioneering Senior AI Engineering Manager (7+ years) to lead our AI initiatives. Expertise in Python, C, Java, Pandas, Numpy, PyTorch, TensorFlow, Ultralytics, and Transformer models is crucial. Drive projects utilizing YOLO, LangChain, Gradio, and crawl4ai. Oversee large-scale model deployment and mentor a high-performing AI team.","Role: AI Engineer (Intern). Skills: Python, C, Java, Pandas, Numpy, Matplotlib, Seaborn, OpenCV, PyTorch, TensorFlow, Ultralytics, LangChain, Gradio, Transformer, YOLO, Torch, crawl4ai.",0.2,Seniority_Mismatch
"Hiring a dynamic Senior Frontend Development Lead (7+ years) to drive our web interfaces. Requires mastery in HTML, CSS, JavaScript, TypeScript, React.js, Vite, and Tailwind CSS. Experience with Node.js and PHP backend integration is essential. Lead architectural decisions, mentor team members, and ensure exceptional user experiences.","Role: Frontend Developer (Intern). Skills: HTML, CSS, JavaScript, TypeScript, PHP, React.js, Vite, Tailwind CSS, Node.js.",0.2,Seniority_Mismatch
"Seeking an experienced Senior QA Manager (7+ years) to lead comprehensive testing strategies. Must possess profound expertise in HTML, CSS, and advanced SQL for database validation. Responsible for designing and implementing end-to-end testing frameworks, managing QA teams, and ensuring superior product quality and release readiness.","Role: Tester (Intern). Skills: HTML, CSS, SQL.",0.2,Seniority_Mismatch
"We require an accomplished Senior AI Engineering Lead (7+ years) to spearhead our artificial intelligence division. Profound expertise in Python, Java, and PyTorch is essential. This role involves designing, developing, and deploying advanced AI models, leading cross-functional teams, and establishing best practices in AI research and development.","Role: AI Engineer (Intern). Skills: Python, Java, PyTorch.",0.2,Seniority_Mismatch
"We're seeking an Embedded Systems Intern to assist with firmware development for IoT devices. The ideal candidate will have exposure to C/C++, RTOS concepts, and microcontroller programming. Responsibilities include debugging hardware, writing low-level drivers, and contributing to embedded software lifecycle. Knowledge of bare-metal programming is a plus.","Role: Software Developer (Intern). Skills: Python, Java, C#, JavaScript, HTML, CSS, Spring Boot, Spring Security, Spring Data JPA, ASP.NET Core MVC, Entity Framework Core, TensorFlow, Keras, PyTorch, Thymeleaf, Bootstrap.",0.1,Tech_Mismatch
"Join our team as an iOS Developer Intern to build and enhance cutting-edge mobile applications. We're looking for someone with foundational knowledge of Swift, Objective-C, and Xcode. You will assist in developing user interfaces with SwiftUI or UIKit, troubleshoot bugs, and contribute to our app's performance. Passion for mobile technology required.","Role: AI Engineer (Intern). Skills: Python, C, Java, Pandas, Numpy, Matplotlib, Seaborn, OpenCV, PyTorch, TensorFlow, Ultralytics, LangChain, Gradio, Transformer, YOLO, Torch, crawl4ai.",0.1,Tech_Mismatch
"We're searching for a Java Backend Developer Intern to contribute to our scalable enterprise applications. Ideal candidates possess basic understanding of Java, Spring Framework, and relational databases like PostgreSQL. You will help design RESTful APIs, implement business logic, and support microservices architecture. Exposure to cloud platforms is a plus.","Role: Frontend Developer (Intern). Skills: HTML, CSS, JavaScript, TypeScript, PHP, React.js, Vite, Tailwind CSS, Node.js.",0.1,Tech_Mismatch
"Seeking a Network Engineering Intern to support our robust infrastructure. Candidates should have a foundational understanding of TCP/IP, routing protocols, and network hardware configuration. You will assist in monitoring network performance, troubleshooting connectivity issues, and documenting network topology. Experience with Linux CLI and scripting is advantageous.","Role: Tester (Intern). Skills: HTML, CSS, SQL.",0.1,Tech_Mismatch
"Exciting opportunity for a Game Development Intern passionate about creating immersive experiences. We're looking for foundational C++ knowledge and familiarity with game engines like Unity or Unreal Engine. You will assist in implementing game mechanics, designing levels, and optimizing performance. Understanding of 3D graphics and physics is a plus.","Role: AI Engineer (Intern). Skills: Python, Java, PyTorch.",0.1,Tech_Mismatch
"Seeking a proactive Network Engineer Intern. You will assist in network infrastructure projects, implementing automation scripts and tools. Requires strong foundational skills in Python and PowerShell scripting for configuration management and system automation tasks. Join our team to gain hands-on experience and contribute to robust network solutions.","Role: Network Engineer (Intern). Skills: Python, PowerShell.",1.0,Positive
"We are hiring a Data Analyst (Intern/Fresher) passionate about data-driven insights. Responsibilities include data collection, cleaning, and visualization. Proficiency in Python and JavaScript is essential, along with experience using Pandas for data manipulation, Matplotlib for visualization, and Scikit-learn for machine learning tasks.","Role: Data Analyst (Intern/Fresher). Skills: Python, JavaScript, Pandas, Matplotlib, Scikit-learn.",1.0,Positive
"Join us as an AI Engineer (Intern/Fresher) to develop and deploy cutting-edge AI solutions. You will work on machine learning models, requiring solid skills in Python, SQL, TensorFlow, and PyTorch. Experience with Scikit-learn, Numpy, and Pandas for data preprocessing and analysis is also crucial.","Role: AI Engineer (Intern/Fresher). Skills: Python, SQL, TensorFlow, PyTorch, Scikit-learn, Numpy, Pandas.",1.0,Positive
"We seek an enthusiastic DevOps Engineer (Intern/Fresher) to help streamline our development lifecycle. Responsibilities include scripting automation and supporting deployment processes. Candidates must possess proficiency in Python, JavaScript, Java, Scratch, and Lua. Familiarity with React for frontend aspects of tooling is also valued.","Role: DevOps Engineer (Intern/Fresher). Skills: Python, JavaScript, Java, Scratch, Lua, React.",1.0,Positive
"Seeking a Junior AI Developer or Data Engineer. Requires strong programming in Python, Java, C, JavaScript, HTML, CSS. Develop AI models using OpenCV, PyTorch, TensorFlow, Keras, NLTK, Hugging Face, Gensim. Data skills: Pandas, Scikit-learn, Matplotlib, NumPy, Pickle. Drive innovation in AI/ML solutions and data pipelines.","Role: AI Developer or Data Engineer (Junior). Skills: Python, Java, C, JavaScript, HTML, CSS, OpenCV, PyTorch, TensorFlow, Keras, NLTK, Pandas, Scikit-learn, Matplotlib, Hugging Face, Gensim, NumPy, Pickle.",1.0,Positive
"Seeking an Intern Network Engineer to assist with network automation. Must have foundational Python skills. Familiarity with Go, BASH scripting, and basic cloud networking concepts like AWS is highly valued. You will contribute to system configuration and support network operations.","Role: Network Engineer (Intern). Skills: Python, PowerShell.",0.6,Partial
"Seeking an Intern/Fresher Data Analyst. Must have Python, Pandas, and Matplotlib skills for data visualization. Familiarity with SQL, R, or Tableau for reporting is a strong plus. You will assist with data collection, cleaning, and basic report generation.","Role: Data Analyst (Intern/Fresher). Skills: Python, JavaScript, Pandas, Matplotlib, Scikit-learn.",0.6,Partial
"Seeking an Intern/Fresher AI Engineer with strong Python, TensorFlow, and Scikit-learn skills. Exposure to cloud ML platforms (AWS Sagemaker/Azure ML) and MLOps concepts (e.g., Docker) is highly desirable. You will assist in developing and deploying machine learning models.","Role: AI Engineer (Intern/Fresher). Skills: Python, SQL, TensorFlow, PyTorch, Scikit-learn, Numpy, Pandas.",0.6,Partial
"Seeking an Intern/Fresher DevOps Engineer. Requires foundational Python, JavaScript, and Java. Must have knowledge of Docker, Kubernetes, and basic cloud platforms (AWS/Azure). Linux experience and familiarity with CI/CD tools are essential for supporting automation and infrastructure.","Role: DevOps Engineer (Intern/Fresher). Skills: Python, JavaScript, Java, Scratch, Lua, React.",0.6,Partial
"Hiring a Junior AI Developer/Data Engineer. Requires strong Python, PyTorch, TensorFlow, Scikit-learn, NLTK, and Pandas skills. Experience with AWS Sagemaker/Azure ML and big data technologies (Apache Spark/Kafka) is highly valued. Develop and deploy scalable AI/ML solutions.","Role: AI Developer or Data Engineer (Junior). Skills: Python, Java, C, JavaScript, HTML, CSS, OpenCV, PyTorch, TensorFlow, Keras, NLTK, Pandas, Scikit-learn, Matplotlib, Hugging Face, Gensim, NumPy, Pickle.",0.6,Partial
"We need a Senior Network Engineering Lead (7+ years experience) to spearhead global network architecture. Responsibilities include strategic planning, team management, and advanced troubleshooting. Must possess exceptional expertise in Python and PowerShell scripting for large-scale automation and infrastructure deployment. Drive innovation and mentor junior engineers effectively.","Role: Network Engineer (Intern). Skills: Python, PowerShell.",0.2,Seniority_Mismatch
"Seeking a Principal Data Analytics Architect (8+ years experience) to design enterprise-level solutions. Lead complex data projects using Python, Pandas for manipulation, Matplotlib for advanced visualization, and Scikit-learn for ML model development. Proficiency in JavaScript for dashboard integration and strategic data storytelling is crucial for this leadership role.","Role: Data Analyst (Intern/Fresher). Skills: Python, JavaScript, Pandas, Matplotlib, Scikit-learn.",0.2,Seniority_Mismatch
"Hiring an AI Engineering Director (9+ years experience) to lead our cutting-edge AI initiatives. Deep expertise required in Python, SQL, TensorFlow, PyTorch, Scikit-learn, Numpy, and Pandas. You will architect, implement, and manage high-impact machine learning systems, guiding a large engineering team and defining our AI roadmap.","Role: AI Engineer (Intern/Fresher). Skills: Python, SQL, TensorFlow, PyTorch, Scikit-learn, Numpy, Pandas.",0.2,Seniority_Mismatch
"We seek a Principal DevOps Architect (10+ years experience) to lead our infrastructure and CI/CD strategy. Required mastery in Python, JavaScript, Java, and React for robust automation. Expertise in Scratch and Lua for legacy system integration is a distinct advantage. Guide senior engineers and drive operational excellence.","Role: DevOps Engineer (Intern/Fresher). Skills: Python, JavaScript, Java, Scratch, Lua, React.",0.2,Seniority_Mismatch
"Recruiting a Chief AI/Data Engineering Officer (12+ years experience) to define our advanced AI and data platform strategy. Requires deep expertise in Python, Java, C, JavaScript, HTML, CSS, OpenCV, PyTorch, TensorFlow, Keras, NLTK, Pandas, Scikit-learn, Matplotlib, Hugging Face, Gensim, NumPy, and Pickle. Lead multiple engineering divisions.","Role: AI Developer or Data Engineer (Junior). Skills: Python, Java, C, JavaScript, HTML, CSS, OpenCV, PyTorch, TensorFlow, Keras, NLTK, Pandas, Scikit-learn, Matplotlib, Hugging Face, Gensim, NumPy, Pickle.",0.2,Seniority_Mismatch
"Frontend Web Development Intern needed to build intuitive user interfaces. Develop responsive web applications using HTML, CSS, JavaScript, and modern frameworks like React. Collaborate on UI/UX design and ensure cross-browser compatibility. Passion for crafting engaging user experiences is essential. Join our innovative team!","Role: Network Engineer (Intern). Skills: Python, PowerShell.",0.1,Tech_Mismatch
"Embedded Systems Intern/Fresher wanted for low-level firmware development. Work with C/C++ on microcontrollers and RTOS to control hardware. Develop device drivers, optimize code for resource-constrained environments, and debug embedded systems. Experience with hardware interfacing and real-time programming is a plus. Apply now!","Role: Data Analyst (Intern/Fresher). Skills: Python, JavaScript, Pandas, Matplotlib, Scikit-learn.",0.1,Tech_Mismatch
"Mobile App Development Intern/Fresher desired to craft engaging native applications. Build user-friendly interfaces for iOS or Android platforms using Swift/Kotlin and relevant SDKs. Integrate REST APIs, manage state, and ensure app performance. Exposure to UI/UX principles and mobile architecture is a plus. Innovate with us!","Role: AI Engineer (Intern/Fresher). Skills: Python, SQL, TensorFlow, PyTorch, Scikit-learn, Numpy, Pandas.",0.1,Tech_Mismatch
"Game Development Intern/Fresher sought to contribute to exciting new titles. Develop game mechanics and features using C# in Unity or C++ in Unreal Engine. Work on 3D graphics, physics simulations, and optimize performance. Collaborate with artists and designers to bring game concepts to life. Passion for gaming essential!","Role: DevOps Engineer (Intern/Fresher). Skills: Python, JavaScript, Java, Scratch, Lua, React.",0.1,Tech_Mismatch
"Junior Cybersecurity Analyst desired to protect our digital assets. Monitor security systems, respond to incidents, and perform vulnerability assessments. Work with SIEM tools, firewalls, and intrusion detection systems. Develop and implement security policies. Strong understanding of network protocols and threat landscapes is required. Secure our future!","Role: AI Developer or Data Engineer (Junior). Skills: Python, Java, C, JavaScript, HTML, CSS, OpenCV, PyTorch, TensorFlow, Keras, NLTK, Pandas, Scikit-learn, Matplotlib, Hugging Face, Gensim, NumPy, Pickle.",0.1,Tech_Mismatch
"We seek an AI Engineer Intern skilled in Python, Java, C++. Work with TensorFlow, PyTorch, Hugging Face, LangChain, n8n, and XChart. Develop and implement AI models. Collaborate on innovative projects. Gain hands-on experience in cutting-edge AI technologies. Apply now to advance your career.","Role: AI Engineer (Intern). Skills: Python, Java, C++, TensorFlow, PyTorch, Hugging Face, LangChain, n8n, XChart.",1.0,Positive
"We are hiring a Software Engineer / Web Developer (Intern/Fresher). Proficient in Python, HTML, CSS, PHP, Qt Designer, and Laravel. You will assist in developing and maintaining web applications, contributing to both front-end and back-end tasks. Ideal for aspiring developers ready to learn and grow.","Role: Software Engineer / Web Developer (Intern/Fresher). Skills: Python, HTML, CSS, PHP, Qt Designer, Laravel.",1.0,Positive
"Seeking a Flutter Developer Intern with strong skills in Dart, Java, and JavaScript. Experience with Flutter, Riverpod, GetX, Provider, and Retrofit is essential. You will contribute to developing and maintaining cross-platform mobile applications. Join our team to gain valuable experience.","Role: Flutter Developer (Intern). Skills: Dart, Java, JavaScript, Flutter, Riverpod, GetX, Provider, Retrofit.",1.0,Positive
"We are looking for a DevOps/Data Analytics Intern. Must have skills in Python, Java, C, PHP, HTML, CSS, SQL, and PySpark. You will assist with data processing, infrastructure automation, and analytics tasks. This role offers excellent learning opportunities in a dynamic environment.","Role: DevOps/Data Analytics (Intern). Skills: Python, Java, C, PHP, HTML, CSS, SQL, PySpark.",1.0,Positive
"Hiring a Software Engineer Intern. Possess strong skills in JavaScript, TypeScript, Java, Python, Node.js, Express.js, NextJS, Spring Boot, React, Flutter, and Bloc. You will contribute to diverse software development projects, working across various tech stacks. Excellent opportunity for a driven individual.","Role: Software Engineer (Intern). Skills: JavaScript, TypeScript, Java, Python, Node.js, Express.js, NextJS, Spring Boot, React, Flutter, Bloc.",1.0,Positive
"Looking for an AI Engineering Intern to develop machine learning models. You'll work with Python, TensorFlow, PyTorch, and LangChain. Experience with Go, AWS SageMaker, and Docker is a plus. Apply your skills to cutting-edge AI projects in a dynamic environment. Join our innovative team!","Role: AI Engineer (Intern). Skills: Python, Java, C++, TensorFlow, PyTorch, Hugging Face, LangChain, n8n, XChart.",0.6,Partial
"Seeking a Web Developer Intern/Fresher to build dynamic web applications. You'll utilize HTML, CSS, Python, and Laravel for backend development. Familiarity with JavaScript, React.js, and SQL databases is highly valued. Contribute to impactful projects and enhance user experiences. A great opportunity to kickstart your career.","Role: Software Engineer / Web Developer (Intern/Fresher). Skills: Python, HTML, CSS, PHP, Qt Designer, Laravel.",0.6,Partial
"We're hiring a Flutter Developer Intern for mobile app development. You'll primarily use Dart, Flutter, Riverpod, and Retrofit to create engaging user interfaces. Experience with Kotlin, Firebase, and Redux is beneficial. Join our team to innovate and contribute to cutting-edge mobile solutions. Grow your expertise!","Role: Flutter Developer (Intern). Skills: Dart, Java, JavaScript, Flutter, Riverpod, GetX, Provider, Retrofit.",0.6,Partial
"Seeking a DevOps/Data Analytics Intern. You will work with Python, SQL, Java, and PySpark for data processing and infrastructure support. Familiarity with Docker, AWS, and Tableau for visualization is a plus. Help us optimize data pipelines and build robust systems. A great learning opportunity in a dynamic environment.","Role: DevOps/Data Analytics (Intern). Skills: Python, Java, C, PHP, HTML, CSS, SQL, PySpark.",0.6,Partial
"Hiring a Software Engineer Intern for full-stack development. You'll use JavaScript, React, Node.js, Express.js, Python, and Spring Boot to build scalable applications. Experience with AWS, SQL databases, and Go is highly advantageous. Contribute to innovative projects in a fast-paced environment. Join our engineering team!","Role: Software Engineer (Intern). Skills: JavaScript, TypeScript, Java, Python, Node.js, Express.js, NextJS, Spring Boot, React, Flutter, Bloc.",0.6,Partial
"Seeking a Senior AI Lead (7+ years experience) to architect complex AI/ML solutions. Lead teams, strategize, and implement projects using Python, Java, C++, TensorFlow, PyTorch, Hugging Face, and LangChain. Drive innovation, ensuring high-performance systems with n8n and XChart expertise.","Role: AI Engineer (Intern). Skills: Python, Java, C++, TensorFlow, PyTorch, Hugging Face, LangChain, n8n, XChart.",0.2,Seniority_Mismatch
"We need a Senior Software Engineering Manager (7+ years) to lead high-impact web projects. Architect robust solutions using Python, HTML, CSS, PHP, and Laravel. Mentor teams, drive technical strategy, and innovate with Qt Designer. Shape our web development future, ensuring scalability and performance.","Role: Software Engineer / Web Developer (Intern/Fresher). Skills: Python, HTML, CSS, PHP, Qt Designer, Laravel.",0.2,Seniority_Mismatch
"Seeking a Senior Flutter Lead Engineer (7+ years) to architect and lead mobile app development. Utilize Dart, Java, JavaScript, Flutter, Riverpod, GetX, Provider, and Retrofit to build scalable solutions. Mentor team members, drive best practices, and deliver high-performance, engaging user experiences.","Role: Flutter Developer (Intern). Skills: Dart, Java, JavaScript, Flutter, Riverpod, GetX, Provider, Retrofit.",0.2,Seniority_Mismatch
"Senior DevOps/Data Analytics Lead (7+ years) needed to architect and manage scalable data pipelines/infrastructure. Lead teams using Python, Java, C, PHP, HTML, CSS, SQL. Drive big data processing with PySpark, ensuring robust, efficient, secure systems. Mentor, innovate, and strategize development.","Role: DevOps/Data Analytics (Intern). Skills: Python, Java, C, PHP, HTML, CSS, SQL, PySpark.",0.2,Seniority_Mismatch
"Seeking a Senior Software Engineering Lead (7+ years) to architect and deliver full-stack solutions. Lead teams leveraging JavaScript, TypeScript, Java, Python. Expertise in Node.js, Express.js, NextJS, Spring Boot, React, Flutter, and Bloc is crucial. Drive technical strategy and high-quality product delivery.","Role: Software Engineer (Intern). Skills: JavaScript, TypeScript, Java, Python, Node.js, Express.js, NextJS, Spring Boot, React, Flutter, Bloc.",0.2,Seniority_Mismatch
"Seeking an Embedded Software Intern to develop firmware for IoT devices. Program microcontrollers in C/Assembly, debug hardware, and collaborate on low-level system design. Experience with RTOS, circuit design, and hardware interfaces like SPI/I2C is a plus. Gain hands-on experience in cutting-edge embedded solutions.","Role: AI Engineer (Intern). Skills: Python, Java, C++, TensorFlow, PyTorch, Hugging Face, LangChain, n8n, XChart.",0.1,Tech_Mismatch
"Seeking a Game Development Intern/Fresher to assist in creating immersive game experiences. Implement game logic using C# within Unity, design UI elements, and optimize game performance. Familiarity with 3D modeling software and shader programming is a significant advantage. Join our innovative studio and contribute to exciting new titles!","Role: Software Engineer / Web Developer (Intern/Fresher). Skills: Python, HTML, CSS, PHP, Qt Designer, Laravel.",0.1,Tech_Mismatch
"Seeking a Data Engineering Intern to assist in building and maintaining scalable data pipelines. Implement ETL processes using Python/Scala, work with big data technologies like Spark/Kafka, and optimize SQL queries. Experience with cloud platforms (AWS/Azure) and data warehousing is a plus. Contribute to vital data infrastructure projects.","Role: Flutter Developer (Intern). Skills: Dart, Java, JavaScript, Flutter, Riverpod, GetX, Provider, Retrofit.",0.1,Tech_Mismatch
"Hiring a Robotics Software Intern to assist in developing and testing robotic systems. Program robot control algorithms in C++ (ROS), integrate sensor data, and implement navigation solutions. Familiarity with kinematics, real-time operating systems, and hardware interfaces is preferred. Gain hands-on experience shaping the future of robotics.","Role: DevOps/Data Analytics (Intern). Skills: Python, Java, C, PHP, HTML, CSS, SQL, PySpark.",0.1,Tech_Mismatch
"Seeking a Quantum Software Engineering Intern to explore and implement quantum algorithms. Code quantum circuits using Qiskit/Cirq, simulate quantum systems, and contribute to quantum application development. Background in linear algebra, quantum mechanics, or advanced physics is a plus. Join our pioneering team in quantum computing research.","Role: Software Engineer (Intern). Skills: JavaScript, TypeScript, Java, Python, Node.js, Express.js, NextJS, Spring Boot, React, Flutter, Bloc.",0.1,Tech_Mismatch
"We are seeking an Intern/Fresher Full-stack Developer proficient in C#, Python, SQL, JavaScript, Dart, HTML, CSS. Develop robust applications using ASP.NET Core, .NET Framework, and Flutter for cross-platform solutions. Utilize Pandas for data analysis. Join our team to build innovative web and mobile experiences.","Role: Full-stack Developer (Intern/Fresher). Skills: C#, Python, SQL, JavaScript, Dart, ASP.NET Core, HTML, CSS, Flutter, .NET Framework, Pandas.",1.0,Positive
"Seeking an Intern Java Developer to contribute to our dynamic projects. You will work with Java, Python, C#, Spring Boot, Spring MVC, Hibernate, and Spring Data JPA. Develop Android applications, utilizing Thymeleaf for front-end, ASP.NET MVC, and Winform for desktop solutions. Ideal for a passionate, multi-faceted developer.","Role: Intern Java Developer (Intern). Skills: Java, Python, C#, Spring MVC, Spring Boot, Hibernate, Android, Spring Data JPA, ASP.NET MVC, Thymeleaf, Winform.",1.0,Positive
We are hiring an Intern AI Engineer. The ideal candidate will possess strong skills in Python and SQL for data manipulation and model development. Experience with LangChain for building advanced language model applications and Streamlit for creating interactive data science web apps is essential. Drive innovation with AI.,"Role: AI Engineer (Intern). Skills: Python, SQL, LangChain, Streamlit.",1.0,Positive
"Seeking an Intern/Fresher Software Developer. Master modern web development using HTML, CSS, JavaScript, and Tailwind CSS. Build dynamic front-ends with React and robust back-ends with Node.js and Express. Develop mobile applications using Dart and Flutter. Experience with PHP is a plus. Innovate across platforms.","Role: Software Developer (Intern/Fresher). Skills: HTML, CSS, JavaScript, PHP, Dart, Node.js, React, Tailwind CSS, Express, Flutter.",1.0,Positive
"We are looking for an Intern AI/ML/Network Security Engineer. The successful candidate will leverage Python for developing machine learning models and automating security tasks. Strong SQL skills are required for data analysis and database security implementations. Contribute to cutting-edge AI, ML, and network security projects. Innovate and secure.","Role: AI/ML/Network Security Engineer (Intern). Skills: Python, SQL.",1.0,Positive
"Join our team as an Intern/Fresher Full-stack Developer. You'll contribute to web applications using C#, ASP.NET Core, SQL, HTML, CSS, and JavaScript. Exposure to Go, AWS, and Docker is a plus, showing eagerness to learn and grow in a dynamic environment.","Role: Full-stack Developer (Intern/Fresher). Skills: C#, Python, SQL, JavaScript, Dart, ASP.NET Core, HTML, CSS, Flutter, .NET Framework, Pandas.",0.6,Partial
"Seeking an Intern Java Developer passionate about backend systems. Work with Java, Spring Boot, Hibernate, and Spring Data JPA, contributing to enterprise applications. Experience with Android development is valued. Familiarity with Kafka, Kubernetes, and Azure is a bonus.","Role: Intern Java Developer (Intern). Skills: Java, Python, C#, Spring MVC, Spring Boot, Hibernate, Android, Spring Data JPA, ASP.NET MVC, Thymeleaf, Winform.",0.6,Partial
"Intern AI Engineer wanted to develop innovative machine learning solutions. Utilize Python and LangChain for LLM applications. An understanding of PyTorch, AWS SageMaker, and FastAPI is a plus. Collaborate on cutting-edge projects and expand your AI skills.","Role: AI Engineer (Intern). Skills: Python, SQL, LangChain, Streamlit.",0.6,Partial
"Seeking an Intern/Fresher Software Developer to build dynamic web experiences. Proficiency in HTML, CSS, JavaScript, React, and Node.js is required. Knowledge of TypeScript, Next.js, and GCP will be highly beneficial. Contribute to impactful frontend and backend development.","Role: Software Developer (Intern/Fresher). Skills: HTML, CSS, JavaScript, PHP, Dart, Node.js, React, Tailwind CSS, Express, Flutter.",0.6,Partial
"Intern AI/ML/Network Security Engineer to assist in developing secure intelligent systems. Strong Python skills are essential. Experience with TensorFlow, cybersecurity frameworks (NIST), and Go is highly advantageous. Contribute to innovative solutions at the intersection of AI and security.","Role: AI/ML/Network Security Engineer (Intern). Skills: Python, SQL.",0.6,Partial
"Seeking a Senior Full-stack Development Lead with 7+ years experience. Must excel in architecting solutions using C#, ASP.NET Core, SQL, and JavaScript. Lead critical projects, mentor teams, and leverage Flutter, Dart, Python, and Pandas. Deep expertise in .NET Framework and modern web technologies is essential for this leadership role.","Role: Full-stack Developer (Intern/Fresher). Skills: C#, Python, SQL, JavaScript, Dart, ASP.NET Core, HTML, CSS, Flutter, .NET Framework, Pandas.",0.2,Seniority_Mismatch
"Senior Java Development Lead sought, 7+ years experience. Drive complex projects utilizing Java, Spring Boot, Spring MVC, Hibernate, and Spring Data JPA. Architect robust backend systems and guide development teams. Proficiency in Android, C#, ASP.NET MVC, Thymeleaf, and Winforms will be highly valued for this role.","Role: Intern Java Developer (Intern). Skills: Java, Python, C#, Spring MVC, Spring Boot, Hibernate, Android, Spring Data JPA, ASP.NET MVC, Thymeleaf, Winform.",0.2,Seniority_Mismatch
